variable,scenario,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Cummulative (2015-2030)
Land use for sugarcane production [Thousand hectares],Reference,50.6966,48.669,46.7223,44.8535,43.0594,41.3371,39.6838,38.0966,36.5728,35.11,33.7056,32.3575,31.0633,29.821,28.6282,27.4832,NA
Land use for sugarcane production [Thousand hectares],Reference (CC scenario 1),50.6963,48.6687,46.722,44.8532,43.0591,41.3369,39.6835,38.0963,36.5725,35.1097,33.7054,32.3573,31.063,29.8207,28.6279,28.3892,NA
Land use for sugarcane production [Thousand hectares],Reference (CC scenario 2),50.6963,48.6687,46.722,44.8532,43.0591,41.3369,39.6835,38.0963,36.5725,35.1097,33.7054,32.3573,31.063,29.8207,28.6279,29.7485,NA
Land use for sugarcane production [Thousand hectares],Renewable target RFS 20% RPS 20%,50.6966,48.669,46.7223,44.8535,43.0594,41.3371,39.9307,38.8544,37.9592,37.1288,36.3608,35.6533,35.2653,36.2886,37.3615,38.4821,NA
Land use for sugarcane production [Thousand hectares],Renewable target RFS 20% RPS 20% (CC scenario 1),50.6963,48.6687,46.722,44.8532,43.0591,41.3369,39.6835,38.2546,37.2932,36.3956,35.5631,36.4806,37.4521,38.4753,39.5481,40.6688,NA
Land use for sugarcane production [Thousand hectares],Renewable target RFS 20% RPS 20% (CC scenario 2),50.6963,48.6687,46.722,44.8532,43.0591,41.3369,39.6835,38.0963,37.1044,36.1898,35.3412,36.2588,37.2302,38.2534,39.3263,40.447,NA
Land use for sugarcane production [Thousand hectares],Renewable target RFS 20% RPS 35%,50.6966,48.669,46.7223,44.8535,43.0594,41.3371,39.9307,38.8544,37.9592,37.1288,36.3608,35.919,36.8904,37.9136,38.9865,40.1072,NA
Land use for sugarcane production [Thousand hectares],Renewable target RFS 20% RPS 35% (CC scenario 1),50.6963,48.6687,46.722,44.8532,43.0591,41.3369,39.6835,38.2546,37.2932,36.3956,36.1423,37.0599,38.0312,39.0545,40.1274,41.248,NA
Land use for sugarcane production [Thousand hectares],Renewable target RFS 20% RPS 35% (CC scenario 2),50.6963,48.6687,46.722,44.8532,43.0591,41.3369,39.6835,38.0963,37.1044,36.1898,37.0511,37.9687,38.94,39.9633,41.0362,42.1567,NA
Land use for sugarcane production [Thousand hectares],Renewable target RFS 20% RPS 50%,50.6966,48.669,46.7223,44.8535,43.0594,41.3371,39.9307,38.8544,37.9592,37.1288,36.3608,35.6533,35.0396,36.0629,37.1357,38.2563,NA
